HomeTeam,AwayTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HTHG,HTAG,FTR
Celta,Girona,12,9,2,4,9,14,4,4,1,0,0,0,0,1,D
Ath Bilbao,Sevilla,13,13,3,4,6,7,4,7,0,3,1,0,1,0,D
Betis,Espanol,20,8,12,1,14,20,8,4,2,4,0,0,0,0,H
Ath Madrid,Real Madrid,12,12,4,4,11,11,5,5,3,1,1,0,0,0,D
Villarreal,Las Palmas,17,7,7,3,14,10,3,2,0,3,0,0,1,0,H
Leganes,Valencia,8,6,0,1,15,14,1,2,2,2,0,0,0,0,D
Espanol,Mallorca,8,11,3,4,14,19,4,6,1,5,0,0,1,0,H
Getafe,Osasuna,11,6,3,2,17,10,4,2,2,4,0,0,1,0,D
Las Palmas,Celta,24,8,5,1,9,13,11,2,3,8,0,2,0,1,A
Valladolid,Vallecano,13,17,5,3,13,18,5,13,4,2,0,0,0,0,A
Real Madrid,Villarreal,11,10,2,1,7,11,2,5,0,1,0,0,1,0,H
Girona,Ath Bilbao,14,13,6,4,12,13,6,1,4,3,0,1,1,1,H
Alaves,Barcelona,11,14,2,8,13,8,11,3,2,2,0,0,0,3,A
Sevilla,Betis,14,11,5,3,15,15,4,1,6,3,1,0,0,0,H
Sociedad,Ath Madrid,16,4,8,1,10,9,5,1,0,2,0,0,0,1,D
Alaves,Valladolid,10,12,4,4,15,14,5,6,6,2,1,0,1,1,A
Ath Bilbao,Espanol,10,5,6,2,15,22,5,5,2,3,0,0,3,0,H
Osasuna,Betis,19,11,6,7,12,8,10,2,2,1,0,1,0,1,A
Girona,Sociedad,8,14,3,4,10,12,6,6,2,1,0,0,0,1,A
Celta,Real Madrid,13,10,5,3,16,13,6,2,2,1,0,0,0,1,A
Mallorca,Vallecano,19,10,5,2,9,13,9,2,1,1,0,0,0,0,H
Ath Madrid,Leganes,24,5,9,2,14,8,8,2,5,1,0,0,0,1,H
Villarreal,Getafe,10,21,4,4,18,21,5,5,4,3,0,0,1,0,D
Barcelona,Sevilla,21,7,9,1,6,14,5,5,1,2,0,0,3,0,H
Valencia,Las Palmas,14,11,7,6,12,12,11,2,4,9,1,0,1,1,A
Espanol,Sevilla,16,6,1,3,14,9,13,2,2,0,0,0,0,2,A
Valladolid,Villarreal,7,21,3,9,16,13,4,6,4,3,0,0,0,1,A
Vallecano,Alaves,16,15,4,7,8,14,6,2,2,4,1,0,0,0,H
Las Palmas,Girona,12,8,3,3,12,14,3,5,4,5,0,1,1,0,H
Real Madrid,Barcelona,9,15,4,7,15,17,10,3,2,5,0,0,0,0,A
Leganes,Celta,7,18,4,5,15,17,4,2,2,2,0,0,0,0,H
Getafe,Valencia,15,2,4,1,20,20,8,2,3,7,0,0,0,1,D
Betis,Ath Madrid,24,10,3,3,8,4,3,10,3,2,0,0,1,0,H
Sociedad,Osasuna,19,10,9,4,7,14,14,4,3,4,0,0,0,2,A
Mallorca,Ath Bilbao,4,20,1,1,9,12,1,14,5,1,1,0,0,0,D
Alaves,Mallorca,13,7,3,2,19,12,7,2,3,2,0,0,0,0,H
Osasuna,Valladolid,20,7,4,4,21,12,7,2,1,5,0,0,1,0,H
Girona,Leganes,15,8,6,5,17,15,6,1,2,4,0,0,2,2,H
Ath Madrid,Las Palmas,15,1,3,1,13,13,9,1,1,1,0,0,1,0,H
Barcelona,Espanol,14,10,9,3,13,14,9,5,0,3,0,0,3,0,H
Sevilla,Sociedad,8,9,0,3,6,17,5,9,2,1,0,0,0,1,A
Ath Bilbao,Betis,17,7,8,4,9,8,6,2,0,0,0,0,0,0,D
Celta,Getafe,10,10,3,2,12,11,0,2,1,4,0,1,1,0,H
Vallecano,Las Palmas,35,11,7,3,9,13,12,4,1,3,0,0,0,1,A
Real Madrid,Osasuna,18,2,8,0,9,16,11,3,0,2,0,0,2,0,H
Villarreal,Alaves,13,9,3,3,17,21,7,2,1,3,0,0,1,0,H
Leganes,Sevilla,8,13,4,2,7,10,0,6,2,1,0,1,0,0,H
Betis,Celta,19,3,6,2,12,8,2,0,3,0,0,0,1,1,D
Mallorca,Ath Madrid,12,9,6,2,10,16,7,2,1,3,0,0,0,0,A
Getafe,Girona,8,3,0,2,25,16,5,2,3,3,0,0,0,1,A
Valladolid,Ath Bilbao,6,17,3,1,12,12,5,5,4,4,0,0,0,0,D
Sociedad,Barcelona,14,11,6,0,17,6,7,6,3,1,0,0,1,0,H
Getafe,Valladolid,12,6,5,3,15,15,3,2,3,2,0,0,0,0,H
Valencia,Betis,11,7,5,3,10,16,2,4,4,2,0,0,1,1,H
Ath Madrid,Alaves,11,4,8,1,18,19,5,0,3,3,0,0,0,1,H
Girona,Espanol,12,9,5,1,4,19,6,3,0,3,0,0,4,0,H
Las Palmas,Mallorca,14,10,3,3,10,18,4,3,4,2,0,1,0,0,A
Celta,Barcelona,15,9,8,4,13,9,5,1,5,5,0,1,0,1,D
Osasuna,Villarreal,4,17,3,7,12,13,0,8,6,5,0,0,2,0,D
Sevilla,Vallecano,11,9,3,1,14,14,8,3,2,5,0,1,1,0,H
Leganes,Real Madrid,4,16,0,9,17,11,2,4,2,0,0,0,0,1,A
Ath Bilbao,Sociedad,12,6,4,1,18,9,4,4,3,4,0,0,1,0,H
Mallorca,Valencia,9,7,3,1,9,14,3,6,0,0,0,0,1,1,H
Barcelona,Las Palmas,27,5,8,3,7,11,7,0,0,0,0,0,0,0,A
Alaves,Leganes,18,6,7,3,15,15,13,8,1,4,0,0,0,0,D
Espanol,Celta,9,16,5,2,13,7,2,5,2,2,0,0,1,0,H
Valladolid,Ath Madrid,9,13,1,9,6,11,3,5,1,2,0,0,0,3,A
Villarreal,Girona,13,13,4,6,8,13,1,5,2,6,0,0,1,0,D
Real Madrid,Getafe,13,8,4,3,7,26,5,3,2,6,0,0,2,0,H
Vallecano,Ath Bilbao,7,12,4,7,14,8,1,7,3,0,0,0,1,0,A
Sociedad,Betis,2,7,1,2,28,10,0,4,3,2,0,0,2,0,H
Sevilla,Osasuna,12,7,5,3,11,15,5,1,1,1,0,0,0,0,D
Mallorca,Barcelona,6,20,1,9,13,13,2,5,4,3,0,0,1,1,A
Ath Bilbao,Real Madrid,9,10,3,5,21,9,5,2,3,3,0,0,0,0,H
Celta,Mallorca,12,9,5,4,9,12,3,3,1,0,0,1,1,0,H
Las Palmas,Valladolid,11,9,5,2,17,13,3,3,4,3,0,0,1,1,H
Betis,Barcelona,12,9,6,3,15,14,6,4,1,2,0,0,0,1,D
Valencia,Vallecano,14,6,6,1,5,12,9,4,2,2,0,0,0,1,A
Girona,Real Madrid,10,10,4,7,6,7,6,3,3,2,0,0,0,1,A
Leganes,Sociedad,11,15,2,5,12,15,5,3,2,2,0,0,0,1,A
Ath Bilbao,Villarreal,12,11,4,1,15,10,3,3,2,1,0,0,1,0,H
Osasuna,Alaves,16,6,8,3,13,14,8,3,4,3,0,0,0,1,D
Ath Madrid,Sevilla,14,4,9,3,11,8,5,3,4,3,0,0,1,2,H
Getafe,Espanol,15,9,6,1,14,15,3,3,3,6,0,0,1,0,H
Valladolid,Valencia,2,14,1,2,10,10,1,7,4,3,1,0,1,0,H
Espanol,Osasuna,9,6,3,0,13,13,5,4,3,1,0,0,0,0,D
Mallorca,Girona,8,13,2,1,10,14,2,4,5,2,1,0,1,1,H
Sevilla,Celta,8,10,3,2,12,9,3,4,7,3,0,0,0,0,H
Vallecano,Real Madrid,14,13,5,6,18,8,4,3,4,2,0,0,2,2,D
Ath Madrid,Getafe,11,7,3,1,13,15,8,3,3,1,0,0,0,0,H
Alaves,Ath Bilbao,6,9,3,2,14,17,2,4,2,2,0,0,0,1,D
Sociedad,Las Palmas,15,9,4,3,17,12,8,6,2,3,0,0,0,0,D
Villarreal,Betis,17,10,4,4,19,10,5,5,5,2,0,1,0,1,A
Barcelona,Leganes,20,6,4,4,5,13,8,2,0,2,0,0,0,1,A
Espanol,Valencia,10,14,3,4,13,11,4,7,1,0,0,0,1,0,D
Villarreal,Vallecano,14,18,5,3,10,15,7,7,4,3,1,0,1,1,D
Girona,Valladolid,23,1,7,1,13,7,9,1,3,1,0,0,2,0,H
Getafe,Mallorca,18,9,5,2,19,13,3,0,4,3,0,0,0,0,A
Celta,Sociedad,11,7,7,1,19,13,5,7,3,5,0,0,2,0,H
Osasuna,Ath Bilbao,6,13,3,8,10,13,4,4,0,1,0,0,1,1,A
Barcelona,Ath Madrid,19,5,7,4,11,8,11,3,0,3,0,0,1,0,A
Valencia,Alaves,8,11,3,3,20,15,5,4,2,1,0,0,0,1,D
Real Madrid,Sevilla,16,10,8,5,5,14,6,6,1,2,0,0,3,1,H
